Busco_id Status Sequence Score Length length prop_gc orf_length in_bridges p_good p_bases_covered p_seq_true score p_not_segmented eff_length eff_count tpm coverage sCnuc sCcov sCord sCseg
EOG093602Y9 Duplicated TRINITY_DN137675_c2_g1_i11 1295.6 642 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602YD Duplicated TRINITY_DN138734_c0_g1_i5 1015.8 629 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602YD Duplicated TRINITY_DN139170_c0_g1_i6 1015.8 629 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602Z8 Duplicated TRINITY_DN114929_c0_g1_i9 1188 632 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093602ZN Complete TRINITY_DN127953_c0_g3_i18 721.5 554 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360300 Duplicated TRINITY_DN120751_c0_g1_i4 868.6 513 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360317 Duplicated TRINITY_DN131558_c0_g1_i13 1323.6 641 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936031D Duplicated TRINITY_DN142062_c0_g1_i1 865.4 684 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936031Y Duplicated TRINITY_DN140808_c0_g1_i2 1239.4 785 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936032C Duplicated TRINITY_DN148706_c1_g1_i2 296.7 529 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936032P Complete TRINITY_DN138208_c0_g2_i1 1145.5 810 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936033H Complete TRINITY_DN119839_c0_g1_i3 840.8 609 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936033V Duplicated TRINITY_DN141835_c0_g1_i14 871.4 487 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360353 Duplicated TRINITY_DN125711_c0_g2_i2 835.6 899 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360358 Duplicated TRINITY_DN138059_c1_g1_i2 1060.9 596 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936035H Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936035T Duplicated TRINITY_DN120527_c0_g1_i5 1291.7 774 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936035U Duplicated TRINITY_DN148274_c0_g2_i6 1002.6 562 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936036G Fragmented TRINITY_DN139337_c2_g2_i5 708.3 358 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936036H Duplicated TRINITY_DN106072_c1_g1_i1 1221 703 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936036V Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936037E Duplicated TRINITY_DN142687_c0_g1_i7 858.1 506 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936037T Duplicated TRINITY_DN144318_c2_g1_i10 1016.8 913 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936037Y Duplicated TRINITY_DN148197_c1_g1_i11 747.7 572 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360383 Duplicated TRINITY_DN146898_c1_g1_i4 945.3 592 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936038D Duplicated TRINITY_DN144665_c0_g2_i17 1406.1 660 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936038M Duplicated TRINITY_DN133076_c1_g2_i4 811.3 584 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936038S Complete TRINITY_DN141292_c0_g1_i2 1138.4 620 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936038Z Complete TRINITY_DN129037_c0_g3_i1 1083 710 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360391 Fragmented TRINITY_DN144163_c0_g2_i2 760.2 453 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360394 Duplicated TRINITY_DN145268_c2_g1_i1 964.6 602 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603DJ Duplicated TRINITY_DN138973_c3_g1_i2 996.8 595 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603DO Duplicated TRINITY_DN132349_c0_g2_i5 1004.1 601 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603EX Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603F5 Duplicated TRINITY_DN141690_c0_g1_i11 1114.3 722 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603FC Duplicated TRINITY_DN142937_c0_g1_i10 1186.1 657 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603FG Duplicated TRINITY_DN126573_c0_g1_i4 839.7 606 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603FS Duplicated TRINITY_DN139858_c0_g1_i8 963.3 633 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603GP Duplicated TRINITY_DN131124_c1_g1_i3 1072.9 620 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603H7 Duplicated TRINITY_DN110683_c0_g2_i2 954.4 602 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603HD Duplicated TRINITY_DN146669_c1_g3_i5 1180.8 604 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603I2 Duplicated TRINITY_DN143303_c2_g3_i2 940.4 559 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603IB Duplicated TRINITY_DN142141_c1_g1_i11 923.8 625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603IB Duplicated TRINITY_DN142141_c1_g1_i15 923.8 625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603IM Duplicated TRINITY_DN136107_c2_g2_i13 919.7 630 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603J1 Duplicated TRINITY_DN144969_c0_g1_i17 1159.5 650 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603J5 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603JD Duplicated TRINITY_DN145386_c0_g2_i16 680.4 631 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603K3 Duplicated TRINITY_DN141822_c0_g1_i11 1198.3 675 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603K7 Duplicated TRINITY_DN133517_c0_g2_i4 554.3 360 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603K9 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603KJ Duplicated TRINITY_DN122063_c0_g1_i2 848.8 606 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603LQ Duplicated TRINITY_DN121388_c0_g1_i9 807.8 602 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603M5 Duplicated TRINITY_DN143080_c0_g1_i1 1180.8 612 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603MT Duplicated TRINITY_DN130239_c1_g1_i11 1049.6 584 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603NH Duplicated TRINITY_DN134455_c0_g1_i1 1119.5 584 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603OJ Duplicated TRINITY_DN122177_c0_g1_i1 818.5 601 407 0.452088 78 0 0.75 0.894349 0.865306 0.572756 0.986805 407 0 0 0 0.865306 0.894349 0.75 0.986805
EOG093603OL Duplicated TRINITY_DN136921_c0_g1_i12 1069.4 557 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603OR Complete TRINITY_DN118196_c0_g2_i3 1010.9 632 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603OV Duplicated TRINITY_DN119981_c2_g2_i2 1025.8 635 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603PK Duplicated TRINITY_DN138199_c0_g3_i1 575.3 517 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603PO Duplicated TRINITY_DN147129_c2_g1_i11 1027.6 608 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603PW Fragmented TRINITY_DN117263_c0_g3_i1 554.6 285 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603QH Duplicated TRINITY_DN141837_c1_g1_i4 1150.3 770 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603QQ Duplicated TRINITY_DN143828_c0_g1_i27 785.1 428 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603QT Duplicated TRINITY_DN124268_c0_g3_i7 976.9 568 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603RD Complete TRINITY_DN136964_c0_g2_i10 1122.3 613 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603RW Duplicated TRINITY_DN129812_c0_g3_i1 995.8 608 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603SM Duplicated TRINITY_DN119552_c0_g2_i4 945 592 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603SM Duplicated TRINITY_DN119552_c0_g2_i7 945 592 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603SR Duplicated TRINITY_DN142984_c1_g2_i6 916.4 481 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603SX Fragmented TRINITY_DN125141_c0_g4_i1 898 583 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603T3 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603TE Duplicated TRINITY_DN133254_c1_g1_i3 1249.7 893 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603UO Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603UU Duplicated TRINITY_DN145955_c2_g1_i5 889 439 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603UW Duplicated TRINITY_DN129000_c1_g1_i4 542 732 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603VH Duplicated TRINITY_DN141391_c0_g3_i12 1001.4 850 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603VH Duplicated TRINITY_DN141391_c0_g3_i4 1001.4 850 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603VX Duplicated TRINITY_DN133582_c0_g1_i6 785.5 467 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603VZ Fragmented TRINITY_DN138969_c2_g1_i10 759.6 404 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603W4 Duplicated TRINITY_DN145996_c0_g1_i5 1135.1 596 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603W7 Duplicated TRINITY_DN134791_c0_g2_i4 1220.6 574 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603WH Duplicated TRINITY_DN115610_c0_g1_i1 911.6 692 384 0.393229 55 0 0.75 1 0.975 0.706774 0.966528 384 0 0 0 0.975 1 0.75 0.966528
EOG093603WZ Fragmented TRINITY_DN142524_c1_g3_i2 866.8 376 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603XJ Duplicated TRINITY_DN135805_c0_g2_i7 388.2 675 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603XO Duplicated TRINITY_DN123296_c0_g1_i5 609.5 557 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603YN Complete TRINITY_DN122508_c0_g1_i10 1132 761 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603Z1 Duplicated TRINITY_DN145087_c0_g3_i7 907.6 528 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603ZW Duplicated TRINITY_DN148774_c2_g1_i3 853.2 528 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093603ZW Duplicated TRINITY_DN148774_c2_g1_i4 853.2 528 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936040G Duplicated TRINITY_DN115720_c0_g1_i1 1085.6 623 268 0.339552 57 0 1 1 1 0.997194 0.997194 268 0 0 0 1 1 1 0.997194
EOG0936041E Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936041M Duplicated TRINITY_DN148384_c0_g2_i13 1046.3 618 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936041Q Duplicated TRINITY_DN122039_c0_g1_i1 1278 641 377 0.498674 125 0 0.333333 1 0.902857 0.298616 0.992237 377 0 0 0 0.902857 1 0.333333 0.992237
EOG0936041Y Duplicated TRINITY_DN130087_c1_g1_i6 1226.3 585 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360424 Duplicated TRINITY_DN128601_c0_g1_i4 884.3 552 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936042H Duplicated TRINITY_DN144034_c2_g1_i15 619.2 387 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936042H Duplicated TRINITY_DN144034_c2_g1_i19 619.2 387 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936042R Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360439 Duplicated TRINITY_DN134734_c0_g2_i25 991 563 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936043P Duplicated TRINITY_DN145537_c1_g2_i5 726.6 457 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936043U Duplicated TRINITY_DN143180_c1_g1_i2 1245.4 553 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936044V Duplicated TRINITY_DN134851_c0_g2_i1 809.4 555 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936045K Duplicated TRINITY_DN130365_c0_g1_i6 819.3 541 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936046G Duplicated TRINITY_DN135017_c0_g1_i4 991 566 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936047E Complete TRINITY_DN135749_c1_g1_i8 960 498 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936048K Duplicated TRINITY_DN142800_c0_g1_i5 966 536 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360490 Duplicated TRINITY_DN144888_c0_g1_i16 1033.3 708 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936049L Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604AJ Duplicated TRINITY_DN118326_c0_g1_i3 640.7 398 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604B8 Duplicated TRINITY_DN147871_c1_g1_i1 1285.7 738 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604BC Duplicated TRINITY_DN134627_c0_g1_i7 1200.2 546 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604C7 Duplicated TRINITY_DN139479_c1_g1_i4 863.6 532 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604CE Duplicated TRINITY_DN137902_c0_g1_i3 792.8 504 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604D2 Duplicated TRINITY_DN127509_c0_g1_i4 1093.3 752 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604D4 Duplicated TRINITY_DN126300_c0_g2_i1 1047.5 536 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604D9 Complete TRINITY_DN140238_c1_g1_i2 1185.9 646 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604DG Duplicated TRINITY_DN111564_c4_g2_i4 977.5 585 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604DM Duplicated TRINITY_DN120666_c0_g1_i2 583.2 452 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604F0 Duplicated TRINITY_DN143827_c0_g3_i2 629.9 446 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604F6 Complete TRINITY_DN129835_c1_g5_i1 846.7 544 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604FE Duplicated TRINITY_DN110939_c0_g1_i1 1143.3 601 335 0.322388 35 0 1 1 0.992857 0.985827 0.992919 335 0 0 0 0.992857 1 1 0.992919
EOG093604FE Duplicated TRINITY_DN143983_c2_g1_i4 1143.3 601 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604FM Complete TRINITY_DN108316_c0_g1_i2 936.6 606 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604HB Duplicated TRINITY_DN116593_c2_g1_i2 1128.6 614 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604HD Duplicated TRINITY_DN137041_c1_g1_i5 717.9 480 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604HD Duplicated TRINITY_DN137041_c1_g2_i1 717.9 480 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604HI Duplicated TRINITY_DN126037_c0_g1_i7 964.5 609 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604HK Duplicated TRINITY_DN127188_c1_g1_i2 761.8 529 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604HV Complete TRINITY_DN131342_c0_g1_i1 815.7 524 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604IO Duplicated TRINITY_DN149591_c2_g1_i11 708.7 477 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604JQ Complete TRINITY_DN139124_c1_g1_i8 836.9 544 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604JS Duplicated TRINITY_DN138831_c0_g1_i7 1116.1 538 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604JV Duplicated TRINITY_DN129537_c0_g1_i4 1086.6 644 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604K0 Duplicated TRINITY_DN136652_c0_g2_i15 686.1 422 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604KN Duplicated TRINITY_DN120386_c0_g1_i6 549.2 306 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604LD Duplicated TRINITY_DN116244_c0_g4_i5 732.3 538 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604LM Duplicated TRINITY_DN125152_c0_g1_i7 978.8 635 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604MP Duplicated TRINITY_DN133827_c4_g1_i3 1016.5 516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604MW Complete TRINITY_DN137403_c2_g1_i5 1003.5 552 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604MY Duplicated TRINITY_DN126201_c1_g1_i9 844.7 542 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604NO Duplicated TRINITY_DN131278_c0_g1_i12 1120.6 543 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604OT Duplicated TRINITY_DN138370_c0_g1_i3 940.5 518 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604P1 Duplicated TRINITY_DN116706_c0_g1_i4 879.1 516 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604P6 Duplicated TRINITY_DN136847_c1_g4_i1 1018 528 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604P6 Duplicated TRINITY_DN136847_c1_g4_i15 1018 528 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604P6 Duplicated TRINITY_DN136847_c1_g4_i16 1018 528 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604PT Duplicated TRINITY_DN131580_c0_g1_i2 818.1 506 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604PU Duplicated TRINITY_DN142037_c0_g1_i9 1108.4 541 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604QJ Complete TRINITY_DN148533_c1_g2_i3 531.2 309 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604R2 Duplicated TRINITY_DN147779_c1_g4_i5 1103.9 533 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604R6 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604R7 Complete TRINITY_DN146504_c1_g2_i11 729.5 535 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604RL Complete TRINITY_DN143288_c0_g2_i1 559.9 436 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604SP Duplicated TRINITY_DN141939_c3_g2_i1 344.1 513 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604T4 Duplicated TRINITY_DN132380_c0_g1_i2 1044.1 490 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604T4 Duplicated TRINITY_DN132380_c0_g1_i6 1044.1 490 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604TP Duplicated TRINITY_DN128584_c1_g1_i3 797.6 517 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604TS Duplicated TRINITY_DN118497_c0_g1_i28 851.1 513 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604U7 Duplicated TRINITY_DN125588_c0_g1_i9 523.2 282 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604UF Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604V6 Duplicated TRINITY_DN144920_c3_g1_i8 718.7 454 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604VR Duplicated TRINITY_DN146951_c1_g1_i13 248.9 470 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604W6 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604WD Duplicated TRINITY_DN120394_c1_g3_i6 934.7 476 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604WH Duplicated TRINITY_DN116254_c0_g1_i4 934.3 532 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604WU Duplicated TRINITY_DN121858_c1_g7_i1 519.9 394 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604X5 Duplicated TRINITY_DN120957_c2_g1_i8 887.1 455 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604X5 Duplicated TRINITY_DN139273_c0_g2_i8 887.1 455 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604XX Complete TRINITY_DN143670_c0_g2_i2 756.6 484 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604Y6 Duplicated TRINITY_DN128825_c0_g1_i6 973.8 559 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604YC Duplicated TRINITY_DN126712_c3_g3_i2 861.3 513 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604YI Duplicated TRINITY_DN120529_c0_g2_i1 830 493 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604YO Duplicated TRINITY_DN145313_c0_g1_i4 973.1 546 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604Z0 Missing NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG093604ZI Complete TRINITY_DN123063_c0_g1_i1 730.8 613 250 0.46 62 0 1 1 0.995238 0.944543 0.949062 250 0 0 0 0.995238 1 1 0.949062
EOG093604ZR Duplicated TRINITY_DN139636_c0_g1_i10 1111 625 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936051T Duplicated TRINITY_DN136982_c0_g1_i4 859.8 448 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360525 Fragmented TRINITY_DN136878_c1_g1_i12 954.4 430 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936052S Duplicated TRINITY_DN144455_c2_g1_i1 756.6 499 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936052S Duplicated TRINITY_DN144742_c1_g1_i7 756.6 499 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936053E Complete TRINITY_DN140673_c1_g2_i5 698.9 493 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936053F Duplicated TRINITY_DN145290_c0_g1_i21 941.6 552 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360541 Complete TRINITY_DN128088_c3_g1_i9 996.4 615 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360548 Duplicated TRINITY_DN147062_c2_g1_i13 806.6 454 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936054G Duplicated TRINITY_DN112522_c0_g1_i4 928 525 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360557 Duplicated TRINITY_DN129436_c0_g2_i7 1047.3 532 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG09360558 Duplicated TRINITY_DN140005_c1_g1_i4 172.6 330 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936055I Fragmented TRINITY_DN145226_c0_g1_i1 390.7 231 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936055R Fragmented TRINITY_DN140521_c1_g1_i6 314.3 428 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
EOG0936056C Duplicated TRINITY_DN139848_c1_g2_i3 977.8 477 NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA NA
